Name,Number,Designation,PackedDesignation,DiscoveryDesignation,ObserverDesignation,Discovery,LostDiscovery,Orbit,Principal,Comment,NEO
2017 SZ128, ,2017 SZ128,K17SC8Z,2017 SZ128,OG15153,1, , , , , 
2017 SD129, ,2017 SD129,K17SC9D,2017 SD129,OG15185,1, , , , , 
2017 SF129, ,2017 SF129,K17SC9F,2017 SF129,OG15046,1, , , , , 
2017 SB130, ,2017 SB130,K17SD0B,2017 SB130,OG15387,1, , , , , 
2017 SJ130, ,2017 SJ130,K17SD0J,2017 SJ130,OG15380,1, , , , , 
2017 SO130, ,2017 SO130,K17SD0O,2017 SO130,OG15358,1, , , , , 
2017 SP130, ,2017 SP130,K17SD0P,2017 SP130,OG15355,1, , , , , 
2017 SS130, ,2017 SS130,K17SD0S,2017 SS130,OG15361,1, , , , , 
2017 SA131, ,2017 SA131,K17SD1A,2017 SA131,OG15223,1, , , , , 
2017 SP131, ,2017 SP131,K17SD1P,2017 SP131,OG15442,1, , , , , 
2017 SZ131, ,2017 SZ131,K17SD1Z,2017 SZ131,OG15540,1, , , , , 
2017 SA132, ,2017 SA132,K17SD2A,2017 SA132,OG15549,1, , , , , 
2018 FS5, ,2018 FS5,K18F05S,2018 FS5,OG16419,1, , , , , 
2018 FT5, ,2018 FT5,K18F05T,2018 FT5,OG16418,1, , , , , 
